chr	start	end	bg_mean	bm_mean	mean_intensity	log2_fold_change	coefficient_of_variation	gene	fold_change
chrX	109012904	109015404	2.815682563487508	0.0	1.407841281743754	-8.142455592528957	1.0	Hmgn5	0.003538967939717127
chrX	36326353	36328853	2.614562380381257	0.0	1.3072811901906285	-8.03593307758715	1.0	Lonrf3	0.0038101590096507277
chr4	122993652	122996152	2.4536662338962567	0.0	1.2268331169481284	-7.944663009395831	1.0	Mycl	0.004058991377328384
chr12	11150342	11152842	2.3933301789643817	0.0	1.1966650894821909	-7.908891054984813	1.0	Kcns3	0.004160893117195033
chr5	140319656	140322156	2.272658069100632	0.0	1.136329034550316	-7.834570956933439	1.0	Nudt1	0.0043808576218075474
chr10	29535367	29537867	2.151985959236881	0.0	1.0759929796184404	-7.756213343464726	1.0	Rspo3	0.004625376939788136
chr2	148393344	148395844	2.131873940926256	0.0	1.065936970463128	-7.742729763162505	1.0	Sstr4	0.004668808844873236
chr17	24893116	24895616	2.091649904305006	0.0	1.045824952152503	-7.715378552990498	1.0	Mrps34	0.004758166419400333
chr14	122983535	122986035	2.0112018310625053	0.0	1.0056009155312526	-7.659069581821062	1.0	Tmtc4	0.004947551425254352
chr11	98329148	98331648	1.6894095380925045	0.0	0.8447047690462522	-7.408889757056571	1.0	Neurod2	0.0058843967718484515
chr8	84249219	84251719	1.5888494465393792	0.0	0.7944247232696896	-7.320890285592967	1.0	D8Ertd738e	0.00625449758364957
chr15	103537492	103539992	1.5687374282287545	0.0	0.7843687141143773	-7.302627435392147	1.0	Ppp1r1a	0.006334175538752747
chr1	134403559	134406059	1.3072811901906285	0.0	0.6536405950953142	-7.041419529592865	1.0	Cyb5r1	0.007591393602570809
chr2	152413587	152416087	0.8447047690462522	0.0	0.4223523845231261	-6.417354267182747	1.0	6820408C15Rik	0.01169994641677125
chr14	24488681	24491181	0.8044807324250022	0.0	0.4022403662125011	-6.347808665260395	1.0	Rps24	0.012277761280155026
chr16	23890344	23892844	0.8044807324250022	0.0	0.4022403662125011	-6.347808665260395	1.0	Sst	0.012277761280155026
chr9	53769535	53772035	0.7642566958037521	0.0	0.382128347901876	-6.2747400493273044	1.0	Slc35f2	0.012915613199339591
chr9	121838961	121841461	0.7441446774931271	0.0	0.3720723387465635	-6.23676941609921	1.0	Ccdc13	0.013260055130590162
chr16	33054453	33056953	0.4022403662125011	0.0	0.2011201831062505	-5.365413874105352	1.0	Rpl35a	0.024257692403769158
chrX	136031367	136033867	0.3620163295912509	0.0	0.1810081647956254	-5.217294044455237	1.0	Arxes1	0.026880540461724882
chr7	99483238	99485738	2.7754585268662577	0.0914676254912954	1.4334630761787766	-4.778823439505406	0.9361911534302486	Rps3	0.03642762026884319
chr3	18052174	18054674	0.2614562380381257	0.0	0.1307281190190628	-4.7626477321281575	1.0	Bhlhe22	0.03683835034432147
chr6	91210455	91212955	1.086048988773753	49.483985390790856	25.285017189782305	4.59698086283108	0.957047725907316	Fbln2	24.200766934273666
chr9	107549555	107552055	3.74083540577626	0.1829352509825909	1.9618853283794253	-4.281023290249407	0.9067553804820484	Rassf1	0.05143794118117579
chr8	72132975	72135475	1.9508657761306305	0.0914676254912954	1.021166700810963	-4.272399388382474	0.9104283116374084	Tpm4	0.05174633915612579
chr15	99053174	99055674	3.338595039563759	0.1829352509825909	1.760765145273175	-4.117367249319095	0.8961046841064035	Prph	0.05761677620107974
chr17	26508019	26510519	5.188900724141264	93.2969780011214	49.24293936263133	3.9294564515777535	0.8946265029808734	Dusp1	15.23646641047154
chr7	142530686	142533186	0.3217922929700009	18.2020574727678	9.261924882868902	3.860693507894859	0.965256434592209	Mrpl23	14.527288118484746
chr5	121545405	121547905	0.3217922929700009	4.207510772599592	2.2646515327847965	3.6680394733436117	0.8579064865779596	Mapkapk5	12.711298188535437
chr4	155774198	155776698	1.890529721198755	34.20889193374451	18.049710827471632	3.606534012844612	0.8952598332865604	Vwa1	12.180774920087224
chr5	30907288	30909788	4.545316138201263	0.3658705019651819	2.455593320083222	-3.5992435769912476	0.8510052544234881	Ost4	0.08251249541455542
chr3	102467919	102470419	2.312882105721881	0.1829352509825909	1.247908678352236	-3.589727268485428	0.8534065399527935	Ngf	0.08305856354368552
chr2	155234533	155237033	2.7151224719343823	43.35565448287406	23.03538847740422	3.5776363555587025	0.8821325512006153	Dynlrb1	11.939217298475507
chr10	128673418	128675918	2.252546050790006	36.22117969455301	19.23686287267151	3.516482392721574	0.8829047092709671	Suox	11.443705673440784
chr2	180497976	180500476	2.192209995858131	0.1829352509825909	1.187572623420361	-3.51276338057875	0.8459586829681929	Ntsr1	0.08760983346068692
chr13	55725368	55727868	0.1206721098637503	11.34198556092064	5.731328835392196	3.4611383755947767	0.9789451777537916	Pcbd2	11.013021072168167
chr18	67341564	67344064	4.082739717056886	0.3658705019651819	2.2243051095110338	-3.4447593163756673	0.8355124481795527	Cidea	0.091838359619769
chr10	110918177	110920677	2.514002288828132	36.952920698483375	19.733461493655756	3.4330238775545348	0.8726020627634754	Csrp2	10.800482634614365
chr11	101440298	101442798	9.693992825721276	0.0	4.846996412860638	-3.4187287088760665	1.0	Rpl27	0.09351044238544766
chr5	28466756	28469256	0.2815682563487507	12.256661815833596	6.269115036091173	3.3707353097633157	0.9550864428666938	Shh	10.344093457497506
chr6	89641988	89644488	2.855906600108758	36.952920698483375	19.904413649296067	3.299068902355425	0.8565189283930622	Txnrd3	9.84280083376835
chr11	78174711	78177211	1.890529721198755	27.257352396406056	14.573941058802406	3.2892204853920437	0.8702801312581878	Tlcd1	9.775838729202627
chr3	145648312	145650812	0.9251528422887524	17.19591359236355	9.060533217326151	3.2405695944496644	0.897892009212039	Gm17501	9.451672195923422
chr11	116012219	116014719	2.0112018310625053	27.440287647388644	14.725744739225574	3.239524740995205	0.8634227425044803	Galk1	9.444829421265814
chr12	30909668	30912168	2.4536662338962567	30.916057416057875	16.684861824977066	3.208081875667742	0.852940572140481	Sh3yl1	9.241210717704977
chr9	106427454	106429954	1.6089614648500044	22.68397112184128	12.146466293345645	3.182363459395121	0.8675366624339572	Rpl29	9.077930602245566
chr10	128192457	128194957	2.192209995858131	27.89762577484512	15.044917885351628	3.178323500132655	0.8542890022688285	Gls2	9.052545356458246
chr11	31369574	31372074	1.2469451352587533	19.20820135317205	10.2275732442154	3.1689041161459235	0.8780800581443883	Stc2	8.993633638876062
chr1	104766529	104769029	1.0056009155312526	16.1897697119593	8.597685313745277	3.099443752468107	0.8830381807620266	Cdh20	8.570882461631701
chr3	8923418	8925918	3.3587070578743843	35.67237394160524	19.51554049973981	3.0727215094789337	0.8278957706593285	Mrps28	8.413589960204689
chr4	117017402	117019902	1.427953300054379	17.744719345311324	9.586336322682852	2.948671647318477	0.8510428539132718	Eif2b3	7.72037886597386
chr13	73328042	73330542	3.0570267832150084	29.452575408197145	16.25480109570608	2.9080695117093187	0.8119308402966208	Ndufs6	7.506131222546396
chr3	94785992	94788492	0.8044807324250022	12.073726564851004	6.439103648638003	2.8570147849713887	0.8750632422891398	Cgn	7.245146113187647
chr11	69836514	69839014	11.34317832719253	86.985711842222	49.16444508470727	2.833555329453153	0.769280863281403	Tmem256	7.128286532844287
chr11	32203415	32205915	2.654786417002508	0.3658705019651819	1.5103284594838449	-2.8257123021000337	0.7577543482891013	Snrnp25	0.1410508923217872
chr5	122987354	122989854	0.5229124760762515	9.604100676586024	5.063506576331138	2.7997173368946773	0.8967291800270283	A930024E05Rik	6.96304012421465
chr6	82773954	82776454	5.309572834005015	40.428690467152606	22.86913165057881	2.715015977061952	0.7678279649996841	Hk2	6.566005585017656
chr2	148407688	148410188	2.131873940926256	19.02526610218946	10.578570021557857	2.676723363851836	0.7984723893133238	Thbd	6.394020474613023
chr10	31445421	31447921	3.278258984631884	26.3426761414931	14.810467563062492	2.676058728542506	0.7786525664586101	Tpd52l1	6.391075491154669
chr15	99723618	99726118	11.906314839890031	80.67444568332262	46.29038026160632	2.661807633773158	0.7427907316249627	Cox14	6.328254555737966
chr10	80854709	80857209	3.41904311280626	26.891481894440872	15.155262503623566	2.658018676413016	0.7743989513880885	Lsm7	6.3116564338583085
chr9	35569898	35572398	5.309572834005015	0.0	2.6547864170025077	-2.657542336250096	1.0	Hyls1	0.15848933458863773
chr10	81266434	81268934	3.70061136915501	28.53789915328419	16.1192552612196	2.651646906474453	0.7704229315073817	Mrpl54	6.283842001299924
chr2	29252506	29255006	3.559827240980635	27.623222898371235	15.591525069675937	2.650135053931224	0.7716819089170329	6530402F18Rik	6.277260384149014
chr2	29252505	29255005	3.559827240980635	27.623222898371235	15.591525069675937	2.650135053931224	0.7716819089170329	6530402F18Rik	6.277260384149014
chr13	54787377	54789877	4.6659882480650126	33.20274805334026	18.934368150702635	2.593712730005924	0.7535704275459616	Tspan17	6.036501763839842
chr13	51844678	51847178	7.260438610135645	48.11197100842143	27.686204809278536	2.5717844307548043	0.7377597016221437	Gadd45g	5.945443495961646
chr7	45123939	45126439	5.993381456566266	0.1829352509825909	3.0881583537744284	-2.563619091029021	0.9407623476435388	Rps11	0.16915068316084808
chr2	119349229	119351729	4.625764211443762	31.83073367097083	18.228248941207298	2.5449259978836305	0.7462310161352564	Chac1	5.835782026588943
chr10	128891218	128893718	1.3877292634331289	12.805467568781369	7.096598416107248	2.531528581828585	0.8044514875911001	Gdf11	5.78183958299006
chr15	66969140	66971640	4.122963753678136	0.7317410039303639	2.42735237880425	-2.4781892817899713	0.6985435611574325	Ndrg1	0.17946951585777896
chr10	75559830	75562330	1.468177336675629	12.53106469230748	6.999621014491554	2.4547574024195504	0.7902490243920334	Lrrc75b	5.482209276960778
chr11	51617735	51620235	2.172097977547506	16.098302086468006	9.135200032007756	2.4303438304076352	0.762227650195185	Nhp2	5.390218778704775
chr7	129255031	129257531	3.238034948010634	21.769294866928327	12.50366490746948	2.425622224192988	0.7410331313280567	Plpp4	5.372606678861015
chr11	94473698	94476198	1.1866090803268785	10.701712182481572	5.944160631404225	2.4199524138585646	0.8003739882031824	Cacna1g	5.351533700176655
chr3	89394276	89396776	2.172097977547506	15.915366835485417	9.043732406516462	2.41482522670996	0.7598228386343672	Zbtb7b	5.332548665020576
chr6	85185438	85187938	3.82128347901876	24.147453129702008	13.984368304360384	2.3829231308494143	0.7267460784891322	Emx1	5.215925020617141
chr16	36071015	36073515	4.545316138201263	27.623222898371235	16.08426951828625	2.367844508997273	0.7174061194987015	Fam162a	5.161693614037263
chrX	106185100	106187600	9.774440898963777	53.782963788881744	31.77870234392276	2.346114310998028	0.6924216478954811	Pgk1	5.0845296106409075
chr7	25297486	25299986	3.0972508198362583	19.57407185513724	11.335661337486748	2.3280992311972963	0.72676928785851	Pafah1b3	5.0214333365999435
chr1	87156021	87158521	1.508401373296879	11.34198556092064	6.42519346710876	2.298734392212578	0.7652364273514028	Ecel1	4.9202594498260614
chr18	37969274	37971774	3.0972508198362583	18.84233085120687	10.969790835521565	2.275853389529051	0.7176563467548561	Fchsd1	4.8428401686181966
chr7	16450779	16453279	2.876018618419383	17.744719345311324	10.310368981865354	2.2738368192295746	0.7210557038765597	Tmem160	4.836075672143005
chr7	119184103	119186603	1.488289354986254	10.610244556990276	6.049266955988265	2.2221721947042843	0.7539719496900409	Gpr139	4.665954356845456
chr9	20640878	20643378	4.384419991716262	23.232776874789053	13.80859843325266	2.1700968835939825	0.6824862412424068	Ubl5	4.500536160268018
chr1	91413538	91416038	8.94984814822815	43.63005735934794	26.289952753788043	2.1652692478356785	0.6595715392855321	Hes6	4.485501355846881
chr6	72958248	72960748	2.473778252206882	14.451884827624689	8.462831539915785	2.1532052614196995	0.7076890588523401	Tmsb10	4.448149451626092
chr7	45713457	45715957	3.640275314223135	18.65939560022428	11.149835457223707	2.082936658599864	0.6735130910057789	Rpl18	4.236687323264055
chr7	100535071	100537571	3.8816195339506354	0.9146762549129548	2.398147894431795	-2.07335042448413	0.618590556055062	Coa4	0.23760705455557624
chr6	87728869	87731369	0.8849288056675024	3.658705019651819	2.271816912659661	2.035426088856549	0.6104752981033587	Efcc1	4.099437850718676
chr10	127288774	127291274	14.15886089068004	60.55156807523761	37.35521448295883	2.021634264407997	0.6209669496841141	Ddit3	4.060434917842718
chr13	34129854	34132354	8.849288056675023	37.68466170241374	23.26697487954438	1.9736703074622608	0.6196631447582364	Tubb2b	3.9276607080444275
chr10	80290453	80292953	5.470468980490015	23.59864737675424	14.534558178622127	1.9266367993945412	0.6236233043164567	Rps15	3.8016792060861335
chr17	33522204	33524704	1.2469451352587533	7.50034529028623	4.373645212772492	1.9195565478073036	0.7148956820692128	Adamts10	3.7830675777970653
chr18	33792892	33795392	2.373218160653757	11.34198556092064	6.857601860787199	1.871376980032716	0.6539288502261738	Epb41l4aos	3.658816291481328
chr15	85581321	85583821	4.424644028337512	18.84233085120687	11.63348743977219	1.8709811326808437	0.6196631447582364	Wnt7b	3.657812521439853
chr7	126693401	126695901	5.128564669209389	20.763150986524074	12.945857827866732	1.8282663184098016	0.6038451265724665	Bola2	3.551100814170182
chr8	57487360	57489860	6.817974207301893	25.61093513756273	16.21445467243231	1.7671524790681807	0.5795125802846913	Sap30	3.403814649670811
chr8	70872990	70875490	2.131873940926256	0.6402733784390684	1.3860736596826624	-1.71975530582266	0.5380668451735405	Ccdc124	0.3036002100841924
chr4	119320046	119322546	1.488289354986254	4.756316525547365	3.122302940266809	1.669558493294471	0.5233360172094398	Ppih	3.181172254668453
chr12	81594508	81597008	2.614562380381257	10.427309306007684	6.52093584319447	1.6605928501156637	0.5990510498412699	Med6	3.161464128557204
chr10	75515551	75518051	6.757638152370018	23.04984162380646	14.90373988808824	1.6323380039830355	0.5465810458909689	Snrpd3	3.1001499620679067
chr17	24533710	24536210	2.3531061423431314	9.32969780011214	5.841401971227636	1.623227990758492	0.5971675714265903	Rab26	3.0806354948530816
chr4	72199348	72201848	18.38238473591129	56.16112205165543	37.27175339378336	1.5602881508213873	0.5068011815355772	C630043F03Rik	2.949127407720292
chr5	110839277	110841777	8.004583287628773	24.51332363166719	16.258953459647984	1.5025194336621084	0.5076815179098201	Hscb	2.833370830910017
chr2	39005124	39007624	4.042515680435636	13.262805696237844	8.65266068833674	1.5000422380544014	0.5328008544372137	Rpl35	2.828509934351983
chr8	57509907	57512407	9.774440898963777	29.452575408197145	19.61350815358046	1.49895123585393	0.501647496081447	Hmgb2	2.826371752721378
chr1	39365842	39368342	1.5687374282287545	6.219798533408093	3.894267980818424	1.4908991515918073	0.5971675714265902	Rpl31	2.810640921904746
chr8	70510301	70512801	2.855906600108758	9.51263305109473	6.184269825601744	1.4469820484343705	0.5381982544995323	Uba52	2.726371289905781
chr7	19309551	19312051	4.464868064958762	1.6464172588433188	3.0556426619010404	-1.4337790073293462	0.4611878936724181	Fosb	0.37016002143486293
chr4	135961727	135964227	3.70061136915501	11.52492081190323	7.612766090529121	1.4138811687240194	0.5138939873958742	Gale	2.664530170286069
chr17	25715171	25717671	4.605652193133137	13.903079074676914	9.254365633905024	1.4106562926467885	0.5023265369741277	Gng13	2.658580761206167
chr7	138909019	138911519	1.1664970620162531	3.1098992667040464	2.138198164360149	1.4070017312068113	0.4544485719520182	Bnip3	2.6518547027709833
chr17	46031877	46034377	4.726324302996888	13.903079074676914	9.314701688836902	1.3799291488800278	0.4925952047760049	Vegfa	2.6025558955641657
chr12	4841095	4843595	2.2927700874112564	7.50034529028623	4.896557688848743	1.3682196642801796	0.5317587919707892	Fkbp1b	2.5815180120787353
chr18	60772510	60775010	4.404532010026887	12.53106469230748	8.467798351167183	1.3240337598562288	0.479849209042658	Rps14	2.503651503442601
chr18	9210856	9213356	4.102851735367511	11.616388437394528	7.859620086381019	1.3059233545012294	0.4779834533634973	Fzd8	2.47241916710047
chr17	45684322	45686822	3.1776988930787584	1.2805467568781368	2.229122824978448	-1.3045329485682242	0.4255378202901324	Mrpl14	0.40485215202735003
chrX	99134130	99136630	3.62016329591251	1.4634820078607278	2.5418226518866187	-1.3008050021834328	0.424239135340742	Efnb1	0.40589964906532955
chr11	115187359	115189859	4.967668522724389	13.537208572711732	9.25243854771806	1.2845109626148463	0.4630962964947689	Nat9	2.4359946463774325
chr18	31787159	31789659	4.002291643814386	1.6464172588433188	2.8243544513288525	-1.2763603358999844	0.4170642222088367	Polr2d	0.4128357073436975
chr10	59951270	59953770	16.652751161197546	40.97749622010038	28.81512369064896	1.2497230751452264	0.4220829540772831	Ddit4	2.377957737962736
chrX	155215949	155218449	6.1945016396725165	15.18362583155505	10.689063735613782	1.1695682094007436	0.4204822992088916	Sat1	2.2494436226567744
chr15	75747422	75749922	14.76222143999879	32.92834517686637	23.84528330843258	1.106020191116235	0.380916500380672	Mafa	2.152510374633398
chr2	25271938	25274438	3.016802746593758	7.50034529028623	5.258574018439994	1.081473829176583	0.4263078286974989	Ssna1	2.116196842748753
