"seqnames","start","end","width","strand","exo_signal","endo_signal","enrichment","pvalue","binding_type","binding_type_by_peaks","significant","cpg_score","cpg_name","cpg_length","region_length","region_start","region_end","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",3671654,3672156,503,"*",15.3311817720532,5.96500325061026,2.57018833484873,0.1,"both","exo_only","False","CpG:",613,502,1792,3670396,3672188,"Promoter (<=1kb)",1,3214482,3671498,457017,2,"497097","ENSMUST00000070533.4",-156,"ENSMUSG00000051951","Xkr4","X-linked Kx blood group related 4"
"chr1",4491701,4493673,1973,"*",8.71631502637676,10.776052608677,0.808859732121046,1,"both","exo_only","False","CpG:",619,1972,1360,4492093,4493453,"Promoter (<=1kb)",1,4492465,4493735,1271,2,"20671","ENSMUST00000191939.1",62,"ENSMUSG00000025902","Sox17","SRY (sex determining region Y)-box 17"
"chr1",4571641,4572075,435,"*",25.0262959895243,0.0760221349879581,329.197489566538,0.5,"exo_only","exo_only","False","CpG:",619,434,786,4571438,4572224,"Distal Intergenic",1,4491390,4497354,5965,2,"20671","ENSMUST00000192650.5",-74287,"ENSMUSG00000025902","Sox17","SRY (sex determining region Y)-box 17"
"chr1",4785376,4785814,439,"*",25.4447727068937,24.5237922277383,1.03755457029658,1,"both","both","False","CpG:",621,438,2211,4784061,4786272,"Promoter (<=1kb)",1,4773206,4785710,12505,2,"27395","ENSMUST00000130201.7",0,"ENSMUSG00000033845","Mrpl15","mitochondrial ribosomal protein L15"
"chr1",4807559,4808103,545,"*",18.2535219256784,5.43693691735564,3.35731721797435,0.1,"both","exo_only","False","CpG:",621,544,3264,4806809,4810073,"Promoter (<=1kb)",1,4807788,4848410,40623,1,"18777","ENSMUST00000134384.7",0,"ENSMUSG00000025903","Lypla1","lysophospholipase 1"
"chr1",4857465,4858372,908,"*",69.4033749195319,54.7071100400481,1.26863537241732,0.4,"both","both","False","CpG:",622,907,2087,4856462,4858549,"Promoter (<=1kb)",1,4857814,4897905,40092,1,"21399","ENSMUST00000081551.13",0,"ENSMUSG00000033813","Tcea1","transcription elongation factor A (SII) 1"
"chr1",5018557,5019711,1155,"*",50.6988395900459,28.6351188675072,1.77051262907712,0.1,"both","both","False","CpG:",623,1154,8482,5016896,5025378,"Promoter (<=1kb)",1,4909576,5019539,109964,2,"58175","ENSMUST00000002533.14",0,"ENSMUSG00000002459","Rgs20","regulator of G-protein signaling 20"
"chr1",5083039,5083536,498,"*",25.8404667699902,25.3026856644249,1.02125391401915,0.7,"both","both","False","CpG:",623,497,1681,5082687,5084368,"Promoter (<=1kb)",1,5083080,5162529,79450,1,"108664","ENSMUST00000044369.12",0,"ENSMUSG00000033793","Atp6v1h","ATPase, H+ transporting, lysosomal V1 subunit H"
"chr1",5916428,5917474,1047,"*",22.6738491753294,11.4823242087817,1.97467418294881,0.1,"both","both","False","CpG:",630,1046,3138,5914531,5917669,"Promoter (<=1kb)",1,5913707,5917398,3692,2,"226304","ENSMUST00000044180.4",0,"ENSMUSG00000033774","Npbwr1","neuropeptides B/W receptor 1"
"chr1",6214430,6215332,903,"*",38.431894998598,17.479419551222,2.19869400616974,0.4,"both","both","False","CpG:",632,902,2406,6213301,6215707,"Promoter (<=1kb)",1,6214645,6276648,62004,1,"12421","ENSMUST00000027040.12",0,"ENSMUSG00000025907","Rb1cc1","RB1-inducible coiled-coil 1"
