chr	start	end	bg_mean	bm_mean	log2_fold_change	gene_name	gene_id	peak_center
chr10	30618171	30618677	773.0	160.0	-2.2652728780297933	Hint3	-	30618424
chr10	80701999	80702510	576.0	1360.0	1.2380238428585122	Ap3d1,Izumo4,Mob3a	+,-	80702254
chr10	81320376	81321105	736.0	295.0	-1.31606744346612	Cactin,Pip5k1c	+	81320740
chr11	49846359	49846940	1292.0	455.0	-1.5036165456455126	Mapk9	+	49846649
chr11	78697425	78698017	240.0	1007.0	2.064390587269955	Nlk	-	78697721
chr11	97187931	97188392	156.0	556.0	1.8269127684484048	Kpnb1	-	97188161
chr11	109425602	109426119	1011.0	441.0	-1.1950910153028786	Amz2	+	109425860
chr12	8921587	8922124	209.0	565.0	1.43041272516576	Laptm4a	+	8921855
chr12	55836176	55836602	456.0	51.0	-3.1356106369169776	Brms1l	+	55836389
chr13	22035201	22036098	1764.0	448.0	-1.974880833417396	H2ac12,H2bc12,H4c9	+,-	22035649
chr13	92354588	92355401	1452.0	376.0	-1.946398274364177	Dhfr,Msh3	+,-	92354994
chr14	21500247	21500881	962.0	2104.0	1.1282125301102992	Kat6b	+	21500564
chr14	21830775	21831329	1788.0	580.0	-1.6225433186473792	Vdac2	+	21831052
chr15	36609275	36609616	606.0	68.0	-3.137028249477513	Pabpc1	-	36609445
chr15	76659838	76660285	302.0	1104.0	1.866656670805843	Cyhr1,Kifc2	+,-	76660061
chr15	80710719	80711256	400.0	1837.0	2.196462624834114	Tnrc6b	+	80710987
chr15	82346009	82346382	1030.0	414.0	-1.3128610911338212	Ndufa6,Pheta2,Smdt1	+,-	82346195
chr15	85735293	85735707	532.0	244.0	-1.1213537837566054	Ppara	+	85735500
chr15	102405568	102406304	1299.0	3101.0	1.254687063120274	Sp1	+	102405936
chr15	102517933	102519042	2298.0	588.0	-1.9646669268877195	Map3k12,Npff,Tarbp2	+,-	102518487
chr15	102625078	102626132	2594.0	507.0	-2.3528341364730774	Atf7	-	102625605
chr16	38088692	38089443	546.0	1694.0	1.6316725352311496	BC031361,Gsk3b	+,-	38089067
chr17	25919754	25920502	755.0	1900.0	1.3303003924274794	Rab40c	-	25920128
chr17	46383445	46383792	201.0	626.0	1.6341101500502442	Zfp318	+	46383618
chr17	56831076	56831339	180.0	737.0	2.0276311189771907	Rfx2	-	56831207
chr18	25168198	25168980	740.0	299.0	-1.304511041809953	AW554918,Tpgs2	+,-	25168589
chr18	36559787	36560608	1398.0	651.0	-1.1014520929336755	Ankhd1,Slc4a9	+	36560197
chr19	36736632	36736993	447.0	137.0	-1.698830465279435	Ppp1r3c	-	36736812
chr19	43674841	43675396	591.0	1251.0	1.0805654813036685	BC037704,Slc25a28	+,-	43675118
chr2	30807559	30808364	1492.0	661.0	-1.1733110433273235	1700001O22Rik,Ntmt1	+,-	30807961
chr2	37358575	37359277	2009.0	895.0	-1.1656248640086868	Pdcl	-	37358926
chr2	165503245	165503934	1544.0	292.0	-2.398634268369489	Slc2a10	+	165503589
chr3	31094631	31094999	83.0	178.0	1.091498354485496	Skil	+	31094815
chr3	65528029	65528383	417.0	27.0	-3.900004210023279	4931440P22Rik,Tiparp	+,-	65528206
chr3	131564528	131565129	848.0	317.0	-1.4167377882686831	Papss1	+	131564828
chr4	40142902	40143827	1588.0	502.0	-1.659488819542992	Aco1	+	40143364
chr4	45530758	45531129	667.0	265.0	-1.3284218569728627	Shb	-	45530943
chr5	135545171	135545686	908.0	2729.0	1.5865487516131078	Hip1	-	135545428
chr6	24956229	24957127	1340.0	615.0	-1.1223069812095725	Tmem229a	-	24956678
chr6	51469954	51470363	1108.0	524.0	-1.078870037608225	Cbx3,Hnrnpa2b1	+,-	51470158
chr6	52012191	52012948	1338.0	232.0	-2.5227541006700305	Skap2	-	52012569
chr6	89644388	89644678	568.0	71.0	-2.982359840864269	Txnrd3	+	89644533
chr7	16923959	16924588	392.0	897.0	1.1921861324825405	Calm3,Gm45972	+,-	16924273
chr7	19715420	19716117	694.0	1582.0	1.187576372526311	Nectin2,Tomm40	-	19715768
chr7	19749568	19749944	440.0	105.0	-2.0567143909943213	Nectin2	-	19749756
chr7	24884088	24884668	400.0	1094.0	1.4492567280336155	Rps19	+	24884378
chr7	80803260	80803524	700.0	212.0	-1.7185610137847849	Iqgap1	-	80803392
chr7	100371888	100372391	382.0	1303.0	1.7675275723061206	C2cd3,Ppme1	+,-	100372139
chr7	102210096	102210611	153.0	595.0	1.9523819797672604	Nup98,Pgap2	+,-	102210353
chr7	127027138	127027484	630.0	311.0	-1.0160939761203007	Kif22,Maz	-	127027311
chr8	69749707	69750231	786.0	320.0	-1.2937903383851834	Zfp963	-	69749969
chr8	69832332	69832711	574.0	125.0	-2.190138222331821	Lpar2,Pbx4	+	69832521
chr8	114439356	114440074	1090.0	388.0	-1.4878090413374152	Wwox	+	114439715
chr9	21546249	21546793	354.0	921.0	1.3769477260372935	AB124611,Carm1	+	21546521
chr9	51278762	51279078	406.0	177.0	-1.1931515532998491	Colca2	-	51278920
chr9	80164628	80165127	1575.0	785.0	-1.0036663171977698	Myo6	+	80164877
chr9	104002138	104002788	1149.0	271.0	-2.0799553045813983	Gm33054,Nphp3	+,-	104002463
