chr	start	end	gene	raw_count	count
chr1	21961442	21963942	Kcnq5	73	1.468177336675629
chr1	44549511	44552011	Gulp1	91	1.83019366626688
chr1	72822503	72825003	Igfbp2	178	3.5799392592912596
chr1	75544266	75546766	Slc4a3	126	2.534114307138757
chr1	84695721	84698221	Dner	64	1.2871691718800036
chr1	89930679	89933179	Gbx2	46	0.9251528422887525
chr1	119421748	119424248	Inhbb	113	2.2726580691006313
chr1	131137840	131140340	Dyrk3	158	3.1776988930787584
chr1	132314126	132316626	Nuak2	154	3.0972508198362583
chr1	153549545	153552045	Npl	61	1.2268331169481284
chr1	158360273	158362773	Astn1	66	1.3273932085012536
chr10	10557733	10560233	Rab32	116	2.3329941240325063
chr10	14544679	14547179	Adgrg6	104	2.091649904305006
chr10	28072820	28075320	Ptprk	64	1.2871691718800036
chr10	34207051	34209551	Dse	79	1.5888494465393792
chr10	58811359	58813859	Sh3rf3	143	2.876018618419383
chr10	60752294	60754794	Slc29a3	210	4.223523845231261
chr10	77166048	77168548	Col18a1	96	1.9307537578200051
chr10	110455704	110458204	Nav3	108	2.172097977547506
chr10	117627500	117630000	Cpm	231	4.645876229754387
chr11	4159793	4162293	Ccdc157	116	2.3329941240325063
chr11	7213423	7215923	Igfbp3	110	2.212322014168756
chr11	32221800	32224300	Rhbdf1	58	1.1664970620162531
chr11	64433332	64435832	Hs3st3a1	95	1.9106417395093802
chr11	78463697	78466197	Slc46a1	186	3.7408354057762603
chr11	84878148	84880648	Myo19	100	2.0112018310625053
chr11	97797000	97799500	Lasp1	81	1.6290734831606295
chr11	98410470	98412970	Erbb2	54	1.086048988773753
chr11	99039244	99041744	Igfbp4	130	2.614562380381257
chr11	102088015	102090515	Mpp2	125	2.5140022888281317
chr11	114763388	114765888	Kif19a	124	2.4938902705175066
chr11	120230947	120233447	Bahcc1	209	4.203411826920636
chr11	120726781	120729281	Dcxr	102	2.0514258676837556
chr12	79007127	79009627	Tmem229b	78	1.5687374282287543
chr12	111907555	111910055	Ppp1r13b	114	2.2927700874112564
chr12	112720174	112722674	Cep170b	28	0.5631365126975015
chr13	12106445	12108945	Ryr2	56	1.126273025395003
chr13	55513176	55515676	Pdlim7	270	5.4302449438687646
chr13	74007407	74009907	Tppp	115	2.312882105721881
chr13	74807421	74809921	Cast	112	2.252546050790006
chr13	76382535	76385035	Mctp1	126	2.534114307138757
chr13	94055796	94058296	Lhfpl2	245	4.927444486103139
chr14	24004359	24006859	Kcnma1	154	3.0972508198362583
chr14	54577161	54579661	Ajuba	98	1.9709777944412554
chr14	54912632	54915132	Slc22a17	31	0.6234725676293766
chr14	63543453	63545953	Mtmr9	74	1.4882893549862541
chr14	70888130	70890630	Gfra2	236	4.746436321307513
chr14	77034772	77037272	Ccdc122	27	0.5430244943868765
chr15	32242813	32245313	Sema5a	245	4.927444486103139
chr15	39196332	39198832	Rims2	68	1.3676172451225037
chr15	64921796	64924296	Adcy8	16	0.3217922929700009
chr15	72809824	72812324	Peg13	267	5.36990888893689
chr15	79106972	79109472	Micall1	79	1.5888494465393792
chr15	79658456	79660956	Fam227a	160	3.2179229297000087
chr15	98870704	98873204	Kmt2d	309	6.214613657983142
chr15	103501298	103503798	Pde1b	292	5.872709346702516
chr15	103537492	103539992	Ppp1r1a	78	1.5687374282287543
chr16	4637941	4640441	Vasn	148	2.9765787099725083
chr16	35936470	35938970	Parp9	94	1.890529721198755
chr16	90384397	90386897	Hunk	33	0.6636966042506268
chr17	26939253	26941753	Syngap1	342	6.878310262233769
chr17	45553716	45556216	Nfkbie	220	4.424644028337512
chr17	46545888	46548388	Cul9	95	1.9106417395093802
chr17	83631395	83633895	Kcng3	24	0.4826884394550013
chr18	9210856	9213356	Fzd8	204	4.102851735367511
chr18	24707445	24709945	Fhod3	110	2.212322014168756
chr18	79108891	79111391	Setbp1	107	2.151985959236881
chr19	4876668	4879168	Zdhhc24	348	6.998982372097519
chr19	5118060	5120560	Klc2	72	1.4480653183650039
chr19	31764533	31767033	Prkg1	32	0.6435845859400018
chr19	60753987	60756487	Nanos1	360	7.24032659182502
chr2	24762652	24765152	Cacna1b	72	1.4480653183650039
chr2	27027498	27029998	Slc2a6	172	3.4592671494275096
chr2	27884425	27886925	Col5a1	254	5.108452650898764
chr2	29252505	29255005	Ntng2	177	3.559827240980635
chr2	69585565	69588065	Lrp2	73	1.468177336675629
chr2	71979240	71981740	Rapgef4	22	0.4424644028337512
chr2	91455511	91458011	Lrp4	151	3.0369147649043833
chr2	92024002	92026502	Creb3l1	101	2.0313138493731304
chr2	104711669	104714169	Tcp11l1	114	2.2927700874112564
chr2	113216596	113219096	Ryr3	61	1.2268331169481284
chr2	121270907	121273407	Trp53bp1	124	2.4938902705175066
chr2	129590835	129593335	Sirpa	115	2.312882105721881
chr2	130397074	130399574	Cpxm1	112	2.252546050790006
chr2	146219921	146222421	Insm1	172	3.4592671494275096
chr2	152103516	152106016	Srxn1	142	2.855906600108758
chr2	160366565	160369065	Mafb	454	9.130856313023775
chr2	165234353	165236853	Cdh22	184	3.70061136915501
chr2	168281236	168283736	Kcng1	94	1.890529721198755
chr2	180587245	180589745	Ogfr	198	3.9821796255037607
chr2	181362928	181365428	Zgpat	200	4.0224036621250105
chr3	25143761	25146261	Naaladl2	61	1.2268331169481284
chr3	32815546	32818046	Usp13	37	0.7441446774931271
chr3	54753582	54756082	Smad9	37	0.7441446774931271
chr3	54915387	54917887	Sertm1	177	3.559827240980635
chr3	89912696	89915196	Il6ra	55	1.106161007084378
chr3	90389438	90391938	Slc27a3	186	3.7408354057762603
chr3	93553080	93555580	S100a10	111	2.232434032479381
chr3	105452455	105454955	Kcnd3os	46	0.9251528422887525
chr3	108086151	108088651	Ampd2	23	0.46257642114437625
chr3	124318855	124321355	Tram1l1	48	0.9653768789100026
chr4	43056953	43059453	Unc13b	84	1.6894095380925045
chr4	46649709	46652209	Tbc1d2	126	2.534114307138757
chr4	59579563	59582063	Hsdl2	332	6.677190079127518
chr4	63212004	63214504	Col27a1	82	1.6491855014712544
chr4	98817037	98819537	Kank4	41	0.8245927507356272
chr4	115826092	115828592	Mob3c	231	4.645876229754387
chr4	124861671	124864171	Maneal	138	2.7754585268662577
chr4	127167204	127169704	Dlgap3	62	1.2469451352587533
chr5	3802425	3804925	Ankib1	52	1.045824952152503
chr5	22344202	22346702	Reln	22	0.4424644028337512
chr5	23432441	23434941	Kmt2e	282	5.671589163596265
chr5	30812641	30815141	Mapre3	309	6.214613657983142
chr5	88884818	88887318	Slc4a4	75	1.508401373296879
chr5	96371955	96374455	Fras1	147	2.956466691661883
chr5	120503125	120505625	Plbd2	136	2.7352344902450074
chr5	132542844	132545344	Auts2	94	1.890529721198755
chr5	136170213	136172713	Orai2	376	7.56211888479502
chr5	138996870	138999370	Pdgfa	114	2.2927700874112564
chr5	139905943	139908443	Elfn1	158	3.1776988930787584
chr6	37299684	37302184	Dgki	209	4.203411826920636
chr6	38636742	38639242	Klrg2	40	0.8044807324250022
chr6	55449978	55452478	Adcyap1r1	88	1.7698576113350049
chr6	56568603	56571103	Pde1c	60	1.2067210986375032
chr6	83163920	83166420	Dctn1	164	3.298371002942509
chr6	85069013	85071513	Exoc6b	116	2.3329941240325063
chr6	116673452	116675952	Rassf4	36	0.7240326591825019
chr6	121243906	121246406	Usp18	106	2.1318739409262557
chr6	148443889	148446389	Tmtc1	170	3.4190431128062593
chr7	31126445	31128945	Scn1b	89	1.7899696296456298
chr7	45015863	45018363	Scaf1	519	10.438137503214403
chr7	45333280	45335780	Trpm4	58	1.1664970620162531
chr7	74554280	74556780	Slco3a1	102	2.0514258676837556
chr7	84086002	84088502	Cemip	323	6.496181914331893
chr7	89630392	89632892	Me3	74	1.4882893549862541
chr7	97079586	97082086	Gab2	58	1.1664970620162531
chr7	99827917	99830417	Neu3	32	0.6435845859400018
chr7	126200001	126202501	Xpo6	162	3.258146966321259
chr7	126270619	126273119	Sbk1	106	2.1318739409262557
chr7	128521616	128524116	Bag3	134	2.695010453623757
chr7	142095343	142097843	Dusp8	11	0.2212322014168756
chr7	142387538	142390038	Ctsd	76	1.5285133916075042
chr8	54075606	54078106	Vegfc	84	1.6894095380925045
chr8	90347843	90350343	Tox3	85	1.7095215564031296
chr8	105878881	105881381	Edc4	157	3.1575868747681337
chr8	105965615	105968115	Slc12a4	130	2.614562380381257
chr8	117156135	117158635	Gan	204	4.102851735367511
chr8	122550829	122553329	Piezo1	146	2.936354673351258
chr8	128357073	128359573	Nrp1	374	7.521894848173771
chr9	3530354	3532854	Gucy1a2	132	2.6547864170025073
chr9	14380742	14383242	Endod1	176	3.5397152226700097
chr9	27297228	27299728	Igsf9b	420	8.447047690462522
chr9	34483894	34486394	Kirrel3	11	0.2212322014168756
chr9	35419128	35421628	Cdon	268	5.390020907247514
chr9	37255238	37257738	Slc37a2	65	1.3072811901906285
chr9	37432663	37435163	Robo3	158	3.1776988930787584
chr9	51763337	51765837	Arhgap20	56	1.126273025395003
chr9	59537667	59540167	Hexa	179	3.6000512776018847
chr9	75683496	75685996	Scg3	148	2.9765787099725083
chr9	86880154	86882654	Snap91	68	1.3676172451225037
chr9	90161069	90163569	Adamts7	34	0.6838086225612519
chr9	108824320	108826820	Celsr3	62	1.2469451352587533
chrX	71048256	71050756	Mamld1	26	0.5229124760762515
chrX	129747742	129750242	Diaph2	168	3.378819076185009
chrX	133688487	133690987	Pcdh19	260	5.229124760762514
chrX	151342175	151344675	Fam120c	106	2.1318739409262557
