chr	start	end	bg_mean	bm_mean	mean_intensity	log2_fold_change	coefficient_of_variation	gene	fold_change
chr15	76639458	76641958	4.991076332203027	0.0	2.4955381661015137	-8.96609481506623	1.0	Tonsl	0.001999569559778124
chr11	69057717	69060217	4.972242081892827	0.0	2.4861210409464136	-8.960651312088375	1.0	Borcs6	0.0020071284846522068
chr7	45524330	45526830	4.953407831582627	0.0	2.476703915791313	-8.955187192148696	1.0	Ppp1r15a	0.002014744776032521
chr18	61707135	61709635	4.934573581272427	0.0	2.467286790636213	-8.949702298482093	1.0	Pcyox1l	0.002022419089458998
chr8	70439079	70441579	4.934573581272427	0.0	2.467286790636213	-8.949702298482093	1.0	Crtc1	0.002022419089458998
chr4	41569038	41571538	4.934573581272427	0.0	2.467286790636213	-8.949702298482093	1.0	Fam219a	0.002022419089458998
chr19	10603758	10606258	4.915739330962227	0.0	2.4578696654811134	-8.944196472528652	1.0	Tkfc	0.0020301520904977585
chr19	11910399	11912899	4.915739330962227	0.0	2.4578696654811134	-8.944196472528652	1.0	Patl1	0.0020301520904977585
chr11	88864086	88866586	4.915739330962227	0.0	2.4578696654811134	-8.944196472528652	1.0	Akap1	0.0020301520904977585
chr4	119731784	119734284	4.896905080652027	0.0	2.4484525403260133	-8.93866955390614	1.0	Hivep3	0.0020379444549335365
chr7	74554280	74556780	4.896905080652027	0.0	2.4484525403260133	-8.93866955390614	1.0	Slco3a1	0.0020379444549335365
chr11	73198542	73201042	4.8780708303418265	0.0	2.4390354151709133	-8.933121380381966	1.0	Shpk	0.002045796868966544
chr8	70537457	70539957	4.8780708303418265	0.0	2.4390354151709133	-8.933121380381966	1.0	Ell	0.002045796868966544
chr2	130904495	130906995	4.8780708303418265	0.0	2.4390354151709133	-8.933121380381966	1.0	4930402H24Rik	0.002045796868966544
chr11	101784871	101787371	4.859236580031626	0.0	2.429618290015813	-8.92755178784462	1.0	Etv4	0.002053710029413903
chr17	10839811	10842311	4.859236580031626	0.0	2.429618290015813	-8.92755178784462	1.0	Pacrg	0.002053710029413903
chr4	41274644	41277144	4.859236580031626	0.0	2.429618290015813	-8.92755178784462	1.0	Ubap2	0.002053710029413903
chr7	45525768	45528268	4.859236580031626	0.0	2.429618290015813	-8.92755178784462	1.0	Plekha4	0.002053710029413903
chr6	145865058	145867558	4.821568079411226	0.0	2.410784039705613	-8.91634767971438	1.0	Bhlhe41	0.0020697214311463452
chr11	73197460	73199960	4.802733829101026	0.0	2.401366914550513	-8.910712826238834	1.0	Ctns	0.002077821121029648
chr2	91069917	91072417	4.783899578790826	0.0	2.391949789395413	-8.905055877923663	1.0	Slc39a13	0.0020859844549606346
chr15	62035986	62038486	4.783899578790826	0.0	2.391949789395413	-8.905055877923663	1.0	Pvt1	0.0020859844549606346
chr8	60630827	60633327	4.783899578790826	0.0	2.391949789395413	-8.905055877923663	1.0	Mfap3l	0.0020859844549606346
chr9	109093389	109095889	4.765065328480626	0.0	2.382532664240313	-8.899376660814275	1.0	Plxnb1	0.002094212186031367
chr5	142817162	142819662	4.765065328480626	0.0	2.382532664240313	-8.899376660814275	1.0	Tnrc18	0.002094212186031367
chr11	119355036	119357536	4.7462310781704256	0.0	2.3731155390852128	-8.893674998893616	1.0	Slc26a11	0.002102505079262611
chr11	102407446	102409946	4.7462310781704256	0.0	2.3731155390852128	-8.893674998893616	1.0	Slc25a39	0.002102505079262611
chr17	56717199	56719699	4.7462310781704256	0.0	2.3731155390852128	-8.893674998893616	1.0	Vmac	0.002102505079262611
chr8	110719476	110721976	4.727396827860225	0.0	2.3636984139301127	-8.88795071404944	1.0	Mtss1l	0.002110863911840963
chr1	119421748	119424248	4.708562577550025	0.0	2.3542812887750126	-8.882203626040921	1.0	Inhbb	0.0021192894733616527
chr5	34287949	34290449	4.708562577550025	0.0	2.3542812887750126	-8.882203626040921	1.0	Zfyve28	0.0021192894733616527
chr17	47628690	47631190	4.708562577550025	0.0	2.3542812887750126	-8.882203626040921	1.0	Usp49	0.0021192894733616527
chr11	119353557	119356057	4.708562577550025	0.0	2.3542812887750126	-8.882203626040921	1.0	Sgsh	0.0021192894733616527
chr16	91010808	91013308	4.670894076929626	0.0	2.335447038464813	-8.870640308719627	1.0	Synj1	0.0021363440051519757
chr11	52002221	52004721	4.670894076929626	0.0	2.335447038464813	-8.870640308719627	1.0	Cdkl3	0.0021363440051519757
chr15	3582992	3585492	4.670894076929626	0.0	2.335447038464813	-8.870640308719627	1.0	Ghr	0.0021363440051519757
chr16	34743210	34745710	4.670894076929626	0.0	2.335447038464813	-8.870640308719627	1.0	Mylk	0.0021363440051519757
chr15	91572761	91575261	4.670894076929626	0.0	2.335447038464813	-8.870640308719627	1.0	Slc2a13	0.0021363440051519757
chr7	66837735	66840235	4.670894076929626	0.0	2.335447038464813	-8.870640308719627	1.0	Adamts17	0.0021363440051519757
chr12	111377218	111379718	4.670894076929626	0.0	2.335447038464813	-8.870640308719627	1.0	Cdc42bpb	0.0021363440051519757
chr17	25570186	25572686	4.652059826619426	0.0	2.326029913309713	-8.864823707972382	1.0	Sox8	0.0021449746189231645
chr14	118924814	118927314	4.652059826619426	0.0	2.326029913309713	-8.864823707972382	1.0	Dzip1	0.0021449746189231645
chr15	53345659	53348159	4.652059826619426	0.0	2.326029913309713	-8.864823707972382	1.0	Ext1	0.0021449746189231645
chr15	100759747	100762247	4.633225576309226	0.0	2.316612788154613	-8.858983561120255	1.0	Slc4a8	0.002153675249167784
chr3	51560379	51562879	4.633225576309226	0.0	2.316612788154613	-8.858983561120255	1.0	Setd7	0.002153675249167784
chr9	44233549	44236049	4.633225576309226	0.0	2.316612788154613	-8.858983561120255	1.0	Cbl	0.002153675249167784
chr7	46031698	46034198	4.633225576309226	0.0	2.316612788154613	-8.858983561120255	1.0	Nomo1	0.002153675249167784
chr10	13964075	13966575	4.633225576309226	0.0	2.316612788154613	-8.858983561120255	1.0	Hivep2	0.002153675249167784
chr11	70687605	70690105	4.633225576309226	0.0	2.316612788154613	-8.858983561120255	1.0	Camta2	0.002153675249167784
chr15	73184340	73186840	4.633225576309226	0.0	2.316612788154613	-8.858983561120255	1.0	Ago2	0.002153675249167784
chr7	3693023	3695523	4.6143913259990255	0.0	2.3071956629995127	-8.85311967675479	1.0	Mboat7	0.002162446751376444
chr9	56927871	56930371	4.6143913259990255	0.0	2.3071956629995127	-8.85311967675479	1.0	Snx33	0.002162446751376444
chr7	133122850	133125350	4.595557075688825	0.0	2.2977785378444127	-8.84723186112404	1.0	Fgfr2	0.0021712899950337415
chrX	7760560	7763060	4.595557075688825	0.0	2.2977785378444127	-8.84723186112404	1.0	Tfe3	0.0021712899950337415
chr11	87987033	87989533	4.595557075688825	0.0	2.2977785378444127	-8.84723186112404	1.0	Dynll2	0.0021712899950337415
chr10	75559830	75562330	4.576722825378625	0.0	2.2883614126893126	-8.84131991809415	1.0	Lrrc75b	0.002180205863905569
chr11	70645235	70647735	4.576722825378625	0.0	2.2883614126893126	-8.84131991809415	1.0	Rnf167	0.002180205863905569
chr7	125707280	125709780	4.557888575068425	0.0	2.2789442875342125	-8.835383649110153	1.0	Gtf3c1	0.002189195256333546
chr3	156561246	156563746	4.557888575068425	0.0	2.2789442875342125	-8.835383649110153	1.0	4930570G19Rik	0.002189195256333546
chr14	70075445	70077945	4.557888575068425	0.0	2.2789442875342125	-8.835383649110153	1.0	Egr3	0.002189195256333546
chr9	108488602	108491102	4.557888575068425	0.0	2.2789442875342125	-8.835383649110153	1.0	Lamb2	0.002189195256333546
chr12	82168016	82170516	4.557888575068425	0.0	2.2789442875342125	-8.835383649110153	1.0	Sipa1l1	0.002189195256333546
chr19	22137119	22139619	4.557888575068425	0.0	2.2789442875342125	-8.835383649110153	1.0	Trpm3	0.002189195256333546
chr6	30304039	30306539	4.557888575068425	0.0	2.2789442875342125	-8.835383649110153	1.0	Ube2h	0.002189195256333546
chr6	22873502	22876002	4.539054324758225	0.0	2.2695271623791125	-8.829422853155956	1.0	Ptprz1	0.002198259085536746
chr18	62546911	62549411	4.539054324758225	0.0	2.2695271623791125	-8.829422853155956	1.0	Spink10	0.002198259085536746
chr10	7587800	7590300	4.520220074448025	0.0	2.2601100372240124	-8.823437326713501	1.0	Lrp11	0.002207398279920965
chr16	20717246	20719746	4.501385824137825	0.0	2.2506929120689123	-8.817426863721067	1.0	Clcn2	0.0022166137833957273
chr4	121016747	121019247	4.501385824137825	0.0	2.2506929120689123	-8.817426863721067	1.0	Smap2	0.0022166137833957273
