chr	start	end	bg_mean	bm_mean	log2_fold_change	gene	fold_change
chr3	93553080	93555580	1.2523803474806032	270.50843289546486	6.913402729554395	Aass	120.54288841543134
chr2	130397074	130399574	1.7506391954029938	209.02924360104103	6.254679494478231	Abcc12	76.35652249559026
chr10	77166048	77168548	0.8483866870029894	81.97225239256511	5.488290441811068	Adamts7	44.88901211850748
chr8	105965597	105968097	2.9087543554388207	155.7472795458737	5.325587672365149	Adcy8	40.101593830722145
chr9	4795734	4798234	2.154632855880608	106.56392811033466	5.091578426121512	Adcyap1r1	34.09713048218045
chr10	34207215	34209715	0.5251917586208982	45.08473881591081	4.9172265286015415	Adgrg6	30.21570143913008
chr15	98870704	98873204	2.679824614501506	102.4653154907064	4.81336639914224	Adm	28.11691488854357
chr6	148443889	148446389	1.400511356322395	65.57780191405209	4.793627574041289	Ajuba	27.734841469798276
chr7	128521616	128524116	2.450894873564192	90.16947763182162	4.72350847951016	Aldh1l1	26.419082867528484
chr4	155837680	155840180	2.073834123785085	73.7750271533086	4.604445310509085	Ampd2	24.32630524032034
chr2	29252505	29255005	2.1950322219283693	73.7750271533086	4.548654143284863	Ankib1	23.40352834006098
chr10	86498396	86500896	3.299281560567181	98.36670287107816	4.530594994310197	Arhgap20	23.11239714618023
chr2	160366565	160369065	6.288834648101524	135.25421644773243	4.224468892868798	Arhgap6	18.693552951324218
chr8	54075606	54078106	1.5621088205134406	40.98612619628256	4.034509027926336	Arhgef18	16.387331349910674
chrX	71048240	71050740	1.3870449009731414	36.8875135766543	3.9884248547073615	Astn1	15.872141140373381
chr3	100488824	100491324	4.255399890364201	77.87363977293685	3.9076707700378224	Auts2	15.008113829273398
chr17	26939253	26941753	10.301838342179156	0.0	-3.4984855534954904	Bag3	0.08848118064721724
chr7	45015863	45018363	10.247972520782142	0.0	-3.4915930698567714	Bahcc1	0.08890491136534745
chr11	120230947	120233447	8.605064968173178	0.0	-3.2637953722400237	Cacna1b	0.1041117372254686
chr7	80404936	80407436	0.5386582139701519	12.295837858884768	3.111229990960073	Carmil3	8.641189926499615
chr10	60752294	60754794	6.6389624871821225	0.0	-2.933376706815971	Cast	0.1309078296533018
chr5	23432441	23434941	6.369633380197047	0.0	-2.881592850836275	Ccdc122	0.13569196029304542
chr8	128356604	128359104	5.184585309462713	0.0	-2.628676862454846	Ccdc157	0.16169232858182941
chr7	142387538	142390038	4.982588479223906	0.0	-2.580769828595136	Cd180	0.1671517276297308
chr15	103501034	103503534	4.32273216711047	0.0	-2.412166973570754	Cd93	0.18787343954277266
chr9	14381007	14383507	4.282332801062708	0.0	-2.4011751980058964	Cdh22	0.18931029862389936
chr9	27297204	27299704	4.161134702919424	0.0	-2.367688284700204	Cdon	0.19375584199233245
chr7	16127826	16130326	4.14766824757017	0.0	-2.3639190790038844	Celsr3	0.19426271311715268
chr9	35419128	35421628	4.107268881522408	0.0	-2.3525520143719585	Cemip	0.19579936423905558
chr19	60753987	60756487	4.080335970823901	0.0	-2.344923907905721	Cep170b	0.19683737566628404
chr11	114763388	114765888	3.86487268523584	0.0	-2.282402049861004	Col18a1	0.20555522512127603
chr7	74554280	74556780	3.837939774537333	0.0	-2.2743928099302533	Col27a1	0.20669955530722442
chr15	72809824	72812324	3.7302081317433022	0.0	-2.2419036643316432	Col28a1	0.21140718804511743
chr13	55513176	55515676	3.7167416763940486	0.0	-2.2377905903967705	Col4a6	0.21201076264250712
chr2	27884425	27886925	3.64940939964778	0.0	-2.217047466690764	Col5a1	0.21508108106714713
chr1	119421748	119424248	3.6359429442985256	0.0	-2.212862810847384	Cpm	0.2157058471200214
chr11	4159793	4162293	3.5955435782507643	0.0	-2.2002355190256853	Cpxm1	0.2176021145208327
chr12	79295804	79298304	3.541677756853749	0.0	-2.183225346933944	Creb3l1	0.22018294857906226
chr2	121270907	121273407	3.501278390805988	0.0	-2.1703347939203232	Cryba1	0.22215910974147557
chr14	54577058	54579558	3.47434548010748	0.0	-2.161676656306466	Ctsd	0.22349637605006276
chr2	118777719	118780219	3.4339461140597187	0.0	-2.14859123717608	Cul9	0.22553273636526
chrX	133688487	133690987	3.407013203361211	0.0	-2.139801218919685	Cyp4f14	0.22691105151155525
chr11	64433332	64435832	3.3800802926627034	0.0	-2.1309573165763496	Cyp4f16	0.22830631704974702
chr11	120726781	120729281	3.353147381964196	0.0	-2.1220588654346635	Dcc	0.2297188475959174
chr2	165234353	165236853	3.299281560567181	0.0	-2.1040955957207137	Dcxr	0.23259700159486074
chr6	55449978	55452478	3.299281560567181	0.0	-2.1040955957207137	Dctn1	0.23259700159486074
chr19	4876668	4879168	4.053403060125394	20.49306309814128	2.088543944845428	Ddit4l	4.253185990196466
chr7	143756485	143758985	3.231949283820912	0.0	-2.0813223381280994	Dgki	0.23629772781613467
chr5	113015291	113017791	3.218482828471658	0.0	-2.076724228933589	Diaph2	0.23705204943605201
chr18	9210163	9212663	3.218482828471658	0.0	-2.076724228933589	Dlgap3	0.23705204943605201
chr15	32242810	32245310	3.218482828471658	0.0	-2.076724228933589	Disp2	0.23705204943605201
chr15	91671175	91673675	3.205016373122404	0.0	-2.072111417930244	Dmd	0.2378112024466285
chr12	111907610	111910110	3.151150551725389	0.0	-2.0535112557885253	Dner	0.24089706878599212
chr5	139905943	139908443	3.1107511856776275	0.0	-2.0394020515291	Dnhd1	0.24326454091508268
chr5	3802425	3804925	3.056885364280612	0.0	-2.0203725367762573	Dtna	0.24649451739618602
chr7	84086002	84088502	3.056885364280612	0.0	-2.0203725367762573	Dse	0.24649451739618602
chr9	75683556	75686056	3.0434189089313586	0.0	-2.015575678388296	Dusp14	0.24731545816119543
chr4	115826092	115828592	3.0299524535821045	0.0	-2.01076281756566	Dusp8	0.2481418854237671
chr3	84039675	84042175	3.016485998232851	0.0	-2.0059338471818613	Edc4	0.2489738543692108
chr18	79108891	79111391	3.016485998232851	0.0	-2.0059338471818613	Dyrk3	0.2489738543692108
chr7	110625661	110628161	2.9895530875343432	0.0	-1.99622714381361	Elfn1	0.2506546417754346
chr5	132542844	132545344	2.9760866321850896	0.0	-1.9913491911210763	Endod1	0.2515035743701696
chr9	51076594	51079094	2.962620176835836	0.0	-1.9864546894213784	Erbb2	0.25235827694152185
chr7	126200001	126202501	2.962620176835836	0.0	-1.9864546894213784	Erich3	0.25235827694152185
chr4	124861671	124864171	2.9087543554388207	0.0	-1.9667089217144955	Exoc6b	0.25583597971782335
chr2	27027498	27029998	2.868354989391059	0.0	-1.951720193453418	Fam120c	0.2585078160464834
chr3	25143761	25146261	2.868354989391059	0.0	-1.951720193453418	Fam227a	0.2585078160464834
chr11	99039244	99041744	2.8279556233432976	0.0	-1.936574105071156	Fgl2	0.26123604827127284
chr15	79658456	79660956	2.814489167994044	0.0	-1.9314898659334816	Fhod3	0.26215830114045857
chr16	90384013	90386513	2.7740898019462827	0.0	-1.9161287513117533	Fndc10	0.26496454840165806
chr6	83163920	83166420	2.7606233465970287	0.0	-1.9109718173571624	Fndc5	0.26591336271549115
chr7	126246862	126249362	2.747156891247775	0.0	-1.9057963837216207	Fras1	0.2668689966880484
chr2	69585565	69588065	2.6394252484537444	0.0	-1.863710632655687	Furin	0.27476866036055075
chr7	45333280	45335780	2.6259587931044908	0.0	-1.8583625297920536	Fzd8	0.27578912421776736
chr8	95674980	95677480	2.599025882405983	0.0	-1.8476064774458831	Gabrb3	0.27785296151621186
chr11	78463697	78466197	2.599025882405983	0.0	-1.8476064774458831	Gab2	0.27785296151621186
chr8	117156135	117158635	2.5720929717074754	0.0	-1.83676963031238	Gan	0.27994792070655317
chr17	32534558	32537058	2.558626516358222	0.0	-1.831320527601272	Gbp6	0.2810072918310534
chr6	85069013	85071513	2.558626516358222	0.0	-1.831320527601272	Gbx2	0.2810072918310534
chr2	181362928	181365428	2.545160061008968	0.0	-1.8258507654086265	Gfra2	0.28207471109651266
chr2	180587245	180589745	2.531693605659714	0.0	-1.820360186483212	Gria4	0.28315027056635106
chr11	84878148	84880648	2.531693605659714	0.0	-1.820360186483212	Gja1	0.28315027056635106
chr9	59537540	59540040	2.5047606949612065	0.0	-1.8093159403902224	Grk3	0.28532618544761124
chr2	113216596	113219096	2.450894873564192	0.0	-1.7869705248607324	Gucy1a2	0.2897799082958354
chr4	59579563	59582063	2.437428418214937	0.0	-1.78132967083038	Gulp1	0.2909151488656458
chr7	134937930	134940430	2.397029052167176	0.0	-1.7642735565268826	H2-T10	0.2943748742337184
chr15	79106898	79109398	2.343163230770161	0.0	-1.7412137966165653	Hectd4	0.2991179104855227
chr16	4637941	4640441	2.343163230770161	0.0	-1.7412137966165653	Hexa	0.2991179104855227
chrX	48208378	48210878	2.329696775420908	0.0	-1.7353908017665136	Hs3st3a1	0.30032764766503095
chr2	168281236	168283736	2.289297409373146	0.0	-1.717779458653536	Hsdl2	0.3040162914883923
chr16	35936470	35938970	2.289297409373146	0.0	-1.717779458653536	Hunk	0.3040162914883923
chr8	122550829	122553329	2.275830954023892	0.0	-1.711860910066851	Ifit1bl2	0.30526605738664336
chr14	70888120	70890620	2.2354315879761306	0.0	-1.6939581722802464	Ifitm2	0.30907777611998066
chr7	101315086	101317586	2.208498677277623	0.0	-1.6818983884647531	Igfbp2	0.31167224941744076
chr13	12106445	12108945	2.208498677277623	0.0	-1.6818983884647531	Igfbp3	0.31167224941744076
chr4	98817037	98819537	2.208498677277623	0.0	-1.6818983884647531	Igfbp4	0.31167224941744076
chr4	127167204	127169704	2.181565766579116	0.0	-1.6697369440434635	Igfbp5	0.31431064870779657
chr5	21370642	21373142	2.1680993112298617	0.0	-1.6636175606615726	Il6ra	0.31564667068842556
chr7	140955487	140957987	2.1680993112298617	0.0	-1.6636175606615726	Il1r1	0.31564667068842556
chr1	89930679	89933179	2.1680993112298617	0.0	-1.6636175606615726	Igsf9b	0.31564667068842556
chr16	5145109	5147609	2.154632855880608	0.0	-1.6574721104941272	Inhbb	0.3169940990552615
chr2	92024002	92026502	2.1007670344835927	0.0	-1.6326251380689822	Insm1	0.32250084862197387
chr10	58811359	58813859	2.0603676684358314	0.0	-1.6137049867627022	Insyn2a	0.32675812462464837
chr7	142095343	142097843	2.0469012130865774	0.0	-1.6073427255903772	Irf7	0.32820230459227073
chr7	141443525	141446025	2.0469012130865774	0.0	-1.6073427255903772	Kank4	0.32820230459227073
chr19	34640243	34642743	2.033434757737324	0.0	-1.6009522826248217	Kcnma1	0.3296593069784405
chr4	128805545	128808045	2.033434757737324	0.0	-1.6009522826248217	Kcng3	0.3296593069784405
chr15	103537503	103540003	2.033434757737324	0.0	-1.6009522826248217	Kcng1	0.3296593069784405
chr17	36120965	36123465	2.033434757737324	0.0	-1.6009522826248217	Kcnd3os	0.3296593069784405
chr3	154661859	154664359	2.0199683023880697	0.0	-1.5945334070909072	Kcnq5	0.3311293033139587
chr10	117627500	117630000	2.006501847038816	0.0	-1.5880858448512671	Kif19a	0.3326124682028473
chr13	94055796	94058296	1.9930353916895625	0.0	-1.5816093383459164	Kirrel3	0.33410897939148726
